fold,model,target,tuned,best_params,auc,n_train,n_test
fold3,lasso,cedi_depreciation,True,{'clf__C': 0.01},0.6819634040081325,1845,346
fold3,elastic_net,cedi_depreciation,True,{'clf__C': 1.0},0.5656888372543325,1845,346
fold3,random_forest,cedi_depreciation,True,{'min_samples_leaf': 50},0.8478071449317456,1845,346
fold3,xgboost,cedi_depreciation,True,"{'max_depth': 2, 'min_child_weight': 3}",0.7142995449704715,1845,346
fold3,svm,cedi_depreciation,True,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.7313389485913447,1845,346
fold3,mlp,cedi_depreciation,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 0.5}",0.5456481750411464,1845,346
fold4,base_rate,cedi_depreciation,,,0.5,2191,346
fold4,garch_t,cedi_depreciation,,,0.6926711155731413,2191,346
fold4,var,cedi_depreciation,,,0.6813913659717711,2191,346
fold4,markov_switching,cedi_depreciation,,,0.732534105002067,2191,346
fold4,logistic,cedi_depreciation,True,{'clf__C': 0.01},0.36626705250103353,2191,346
fold4,lasso,cedi_depreciation,True,{'clf__C': 0.01},0.5540660249217504,2191,346
fold4,elastic_net,cedi_depreciation,True,{'clf__C': 0.01},0.395086517451131,2191,346
fold4,random_forest,cedi_depreciation,True,{'min_samples_leaf': 50},0.6769621449241127,2191,346
fold4,xgboost,cedi_depreciation,True,"{'max_depth': 2, 'min_child_weight': 3}",0.7248567885194589,2191,346
fold4,svm,cedi_depreciation,True,"{'clf__C': 0.5, 'clf__gamma': 0.01}",0.3976849937990905,2191,346
fold4,mlp,cedi_depreciation,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 2.0}",0.3372113624283943,2191,346
fold5,base_rate,cedi_depreciation,,,0.5,2537,346
fold5,garch_t,cedi_depreciation,,,0.5373376623376623,2537,346
fold5,var,cedi_depreciation,,,0.6254272043745728,2537,346
fold5,markov_switching,cedi_depreciation,,,0.46257689678742314,2537,346
fold5,logistic,cedi_depreciation,True,{'clf__C': 10.0},0.43814080656185916,2537,346
fold5,lasso,cedi_depreciation,True,{'clf__C': 0.01},0.7365857826384141,2537,346
fold5,elastic_net,cedi_depreciation,True,{'clf__C': 0.01},0.701555023923445,2537,346
fold5,random_forest,cedi_depreciation,True,{'min_samples_leaf': 50},0.692412850307587,2537,346
fold5,xgboost,cedi_depreciation,True,"{'max_depth': 3, 'min_child_weight': 3}",0.6723342447026659,2537,346
fold5,svm,cedi_depreciation,True,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.45676691729323304,2537,346
fold5,mlp,cedi_depreciation,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 2.0}",0.7062542720437457,2537,346
stress_2024,base_rate,cedi_depreciation,,,0.5,2220,262
stress_2024,garch_t,cedi_depreciation,,,0.6977358490566037,2220,262
stress_2024,var,cedi_depreciation,,,0.7093396226415094,2220,262
stress_2024,markov_switching,cedi_depreciation,,,0.7580188679245283,2220,262
stress_2024,logistic,cedi_depreciation,True,{'clf__C': 10.0},0.46669811320754717,2220,262
stress_2024,lasso,cedi_depreciation,True,{'clf__C': 0.01},0.5408490566037736,2220,262
stress_2024,elastic_net,cedi_depreciation,True,{'clf__C': 0.01},0.36839622641509434,2220,262
stress_2024,random_forest,cedi_depreciation,True,{'min_samples_leaf': 50},0.7026415094339623,2220,262
stress_2024,xgboost,cedi_depreciation,True,"{'max_depth': 2, 'min_child_weight': 3}",0.7891509433962264,2220,262
stress_2024,svm,cedi_depreciation,True,"{'clf__C': 0.5, 'clf__gamma': 0.01}",0.36933962264150944,2220,262
stress_2024,mlp,cedi_depreciation,True,"{'clf__hidden_layer_sizes': (16,), 'clf__alpha': 2.0}",0.3528301886792453,2220,262
fold1,base_rate,highvol_day,,,0.5,1153,346
fold1,garch_t,highvol_day,,,0.48283752860411894,1153,346
